name,description,category,subcategory,subsubcategory,combatscore,runescore
"Kill K'ril Vol 2 I","Defeat K'ril Tsutsaroth in hard mode. (X/5)","Combat","God Wars Dungeon","K'ril Tsutsaroth","N/A","5"
"Kill K'ril Vol 2 II","Defeat K'ril Tsutsaroth in hard mode. (X/10)","Combat","God Wars Dungeon","K'ril Tsutsaroth","N/A","5"
"Kill K'ril Vol 2 III","Defeat K'ril Tsutsaroth in hard mode. (X/25)","Combat","God Wars Dungeon","K'ril Tsutsaroth","3","15"
"Kill K'ril Vol 2 IV","Defeat K'ril Tsutsaroth in hard mode. (X/50)","Combat","God Wars Dungeon","K'ril Tsutsaroth","N/A","5"
"Kill K'ril Vol 2 V","Defeat K'ril Tsutsaroth in hard mode. (X/75)","Combat","God Wars Dungeon","K'ril Tsutsaroth","N/A","5"
"Kill K'ril Vol 2 VI","Defeat K'ril Tsutsaroth in hard mode. (X/100)","Combat","God Wars Dungeon","K'ril Tsutsaroth","N/A","5"
"Kiln Fighter","Complete the Fight Kiln.","Activities","Minigames","N/A","N/A","20"
"Kindred Spirits","Complete this quest.","Lore","Quests","N/A","N/A","0"
"King Black Dragon","Defeat the King Black Dragon. (X/1)","Combat","King Black Dragon","N/A","N/A","0"
"King Black Dragon Beginner Speed Killer","Defeat the King Black Dragon solo in less than 00:48.","Combat","King Black Dragon","N/A","2","10"
"King Black Dragon Novice Speed Killer","Defeat the King Black Dragon solo in less than 01:00.","Combat","King Black Dragon","N/A","1","5"
"King Black Dragonling","Unlock the King Black Dragonling pet from the King Black Dragon.","Combat","Boss Pets","N/A","N/A","0"
"King Coal","Transport a full load (224 pieces) of coal to Seers' Village.","Area Tasks","Medium Seers' Village","N/A","N/A","10"
"King Conifer","Find the highest tree on the Fremennik mainland.","Area Tasks","Easy Fremennik","N/A","N/A","5"
"King of the Castle","Find the highest point in Varrock.","Area Tasks","Easy Varrock","N/A","N/A","5"
"King of the Dwarves","Complete this quest.","Lore","Quests","N/A","N/A","0"
"King's Ransom","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Kinprovements","Wear a ring of kinship with a fully upgraded role, e.g. Tank, Medic.","Area Tasks","Hard Daemonheim","N/A","N/A","15"
"Kitchen Aid","Non-ironman: | Feed a team mate some food to heal them. | Ironman: | Attempt to feed a Dungeoneering familiar.","Area Tasks","Easy Daemonheim","N/A","N/A","5"
"Kitty Litter","Summon a cat or kitten at the sandy patch by 'The Face' in Port Sarim.","Area Tasks","Medium Falador","N/A","N/A","10"
"Klept-Old-Man-ia","Ask the Wise Old Man to check your bank for unnecessary quest-related items.","Area Tasks","Easy Lumbridge","N/A","N/A","5"
"Knot So Elite After All","Obtained a collection of unique drops from elite clue scrolls.","Feats","Clue Logs","N/A","N/A","0"
"Know Thy Measure","Solve this mystery.","Skills","Archaeology","Dragonkin","N/A","15"
"Kookookachat","Talk to Khoochak about a quest.","Area Tasks","Easy Desert","N/A","N/A","5"
"Koschei's Cache","Complete the 'Koschei's Troubles' miniquest and unlock all jewel memories.","Lore","Post-Quest","N/A","N/A","15"
"Koschei's Troubles (miniquest)","Complete this miniquest.","Lore","Miniquests","N/A","N/A","0"
"Kraken the Whip","Hit Boggoth using a lava whip's special attack.","Combat","Shadow Reef","N/A","N/A","5"
"Krar Jnr","Unlock the Krar Jnr pet from the Nemi Forest on Mazcab.","Combat","Boss Pets","N/A","N/A","0"
"Kree'arra","Defeat Kree'arra. (X/1)","Combat","God Wars Dungeon","Kree'arra","N/A","0"
"Kree'arra (HM) Competent Speed Killer","Defeat Kree'arra in hard mode, solo, in less than 01:00.","Combat","God Wars Dungeon","Kree'arra","3","15"
"Kree'arra (HM) Elite Speed Killer","Defeat Kree'arra in hard mode, solo, in less than 00:30.","Combat","God Wars Dungeon","Kree'arra","4","25"
"Kree'arra Beginner Speed Killer","Defeat Kree'arra solo in less than 00:42.","Combat","God Wars Dungeon","Kree'arra","2","10"
"Kree'arra Competent Speed Killer","Defeat Kree'arra solo in less than 00:36.","Combat","God Wars Dungeon","Kree'arra","3","15"
"Kudos on the Kudos!","When you have achieved 153 Kudos, speak to the apprentice by the central staircase, downstairs in the museum.","Area Tasks","Hard Varrock","N/A","N/A","15"
"Kudos to You","Reach full Kudos with the Varrock Museum. (X/198)","Lore","Post-Quest","N/A","N/A","25"
"Kuroryu","Unlock the Kuroryu pet from Seiryu in the Temple of Aminishi.","Combat","Boss Pets","N/A","N/A","0"
"La Morte D'Arthur","Take a poison chalice to King Arthur.","Area Tasks","Easy Seers' Village","N/A","N/A","5"
"La Petite Mort","Obtained a collection of unique drops from Slayer monsters located within Kandarin.","Feats","Slayer Logs","N/A","N/A","0"
"Lab Clean-up Assistant","Kill an experiment under Castle Fenkenstrain.","Area Tasks","Easy Morytania","N/A","N/A","5"
"Lack of Forefort","Upgrade the grove at Fort Forinthry to Tier 3.","Exploration","Fort Forinthry","N/A","N/A","5"
"Lair of Tarn Razorlor (miniquest)","Complete this miniquest.","Lore","Miniquests","N/A","N/A","15"
"Lamp of Luxury","Rub these quest lamps that can be reclaimed from May's storage chest, near Varrock lodestone. (X/40)","Lore","Post-Quest","Experience","N/A","0"
"Land of the Goblins","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Lashers are Friends Not Foes","Defeat Solak, Guardian of the Grove with at least 8 active Blightbound lashers.","Combat","Solak","N/A","5","40"
"Last of the Summer Swine","Fully upgrade the pig creation machine after 'Bringing Home the Bacon'.","Lore","Post-Quest","N/A","N/A","10"
"Lava Palava","Defeat a lava strykewyrm.","Area Tasks","Elite Wilderness","N/A","N/A","25"
"Lawful Crafting","Craft some law runes while inside a dungeon.","Area Tasks","Hard Daemonheim","N/A","N/A","15"
"Layering Up","Don't allow the Chaos Elemental's 'Madness' attack to unequip something you're wearing.","Combat","Chaos Elemental","N/A","1","5"
"Leaf Me Alone","Attempt to pass a leaf trap.","Area Tasks","Easy Tirannwn","N/A","N/A","5"
"Leap of Faith","Solve this mystery.","Skills","Archaeology","Armadylean","N/A","10"
"Leap of Faith","Jump the chasm in the Fremennik Slayer Dungeon to gain quick access to the pyrefiends.","Area Tasks","Elite Fremennik","N/A","N/A","25"
"Learning from Mr Mordaut","Claim and use the Divination XP lamp from Mr. Mordaut after 'One of a Kind'.","Lore","Post-Quest","Experience","N/A","10"
"Leave No Zygomite Buried","Find all the hidden Zygomites on Anachronia.","Exploration","Anachronia","N/A","N/A","15"
"Legacy of Seergaze","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Legal Entitlement","Inform the Old man about the fate of his mother after 'Vessel of the Harbinger'.","Lore","Post-Quest","N/A","N/A","5"
"Legends' Quest","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Legio Primulus","Unlock the Legio Primulus pet from Legio Primus in the Ascension Dungeon.","Combat","Boss Pets","N/A","N/A","0"
"Legio Quartulus","Unlock the Legio Quartulus pet from Legio Quartus in the Ascension Dungeon.","Combat","Boss Pets","N/A","N/A","0"
"Legio Quintulus","Unlock the Legio Quintulus pet from Legio Quintus in the Ascension Dungeon.","Combat","Boss Pets","N/A","N/A","0"
"Legio Secundulus","Unlock the Legio Secundulus pet from Legio Secundus in the Ascension Dungeon.","Combat","Boss Pets","N/A","N/A","0"
"Legio Sextulus","Unlock the Legio Sextulus pet from Legio Sextus in the Ascension Dungeon.","Combat","Boss Pets","N/A","N/A","0"
"Legio Tertiolus","Unlock the Legio Tertiolus pet from Legio Tertius in the Ascension Dungeon.","Combat","Boss Pets","N/A","N/A","0"
"Legiones","Defeat any of the Ascension Legiones. (X/1)","Combat","Legiones","N/A","N/A","0"
"Legiones Beginner Speed Killer","Defeat any of the six Ascension Legiones solo in less than 00:30.","Combat","Legiones","N/A","2","10"
"Legiones Competent Speed Killer","Defeat any of the six Ascension Legiones solo in less than 00:18.","Combat","Legiones","N/A","3","15"
"Lesser Ritualist","Complete a Lesser Necroplasm ritual.","Area Tasks","Easy Underworld","N/A","N/A","5"
"Let It Go, Legio","Obtained a collection of unique drops from Slayer monsters located within Feldip Hills.","Feats","Slayer Logs","N/A","N/A","0"
"Let the Poison In","Defeat Raksha, the Shadow Colossus without expelling any poisonous shadow energy from his 'Mind Flay' attack.","Combat","Raksha","N/A","4","25"
"Let Them Eat Pie","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Let Us Give Ugthanks","Find and read the Ugthanatos journal.","Lore","Books","N/A","N/A","25"
"Let's Enhance","Convert a memory, or an enriched memory, into enhanced experience.","Skills","Divination","N/A","N/A","5"
"Let's Hope it Doesn't Un-Shrink","Claim the King Slime's Top Hat cosmetic override from Eva after 'Once Upon a Slime'.","Lore","Post-Quest","N/A","N/A","5"
"Lets Split Up","Defeat Vorago without anyone being hit by his 'Teamsplit' attack during the 'Teamsplit' stage.","Combat","Vorago","N/A","4","25"
"Lets Stay Together","Defeat Vorago without anyone successfully hiding during the 'Teamsplit' attack.","Combat","Vorago","N/A","4","25"
"Liberated","Obtained a collection of unique drops from the Liberation of Mazcab.","Feats","Boss Logs","N/A","N/A","0"
"Library of Nex","Find and read the books from the Nex, Angel of Death encounter.","Lore","Books","N/A","N/A","25"
"Life Feeds On Life","Cook shrimp on a range in Lumbridge.","Skills","Cooking","N/A","N/A","0"
"Life Saver","Get rescued by the Sign of Life effect 50 times. (X/50)","Activities","Just for Fun","N/A","N/A","20"
"Life, Uh, Found a Way","Hand in a lizard chicken called Malcolm with the Chaotic trait to Granny P.","Skills","Farming","Manor Farm","N/A","20"
"Light 'Em Up!","Burn at least 15 logs at once using the Pyromaniac perk.","Skills","Invention","N/A","N/A","10"
"Light and Shadow","Power all the shadow anchors at Kharid-et. (X/8)","Skills","Archaeology","Zarosian","N/A","25"
"Light as a Feather","Obtained a collection of unique drops from Kree'arra.","Feats","Boss Logs","N/A","N/A","0"
"Light sensitivity","Defeat Araxxor and Araxxi without anyone standing in the light after taking the Darkness path during phase 2.","Combat","Araxxi","N/A","3","15"
"Light Transit","Enter the Temple of Light using a teleport crystal.","Area Tasks","Medium Tirannwn","N/A","N/A","10"
"Lighten Up","Trade furs with the fancy dress seller for a spottier cape.","Area Tasks","Hard Varrock","N/A","N/A","15"
"Lightning Doesn't Strike Once","Defeat any of the six Legiones solo without being hit by their 'Lightning' attack.","Combat","Legiones","N/A","3","15"
"Lightning Rod","Defeat Commander Zilyana in hard mode, solo, without being hit by her 'Lightning' attack.","Combat","God Wars Dungeon","Commander Zilyana","3","15"
"Lightning Strikes Thrice","Defeat Kerapac, the bound after being hit by all 3 waves of his 'Lightning Strike' attack within 3s of each other.","Combat","Kerapac","N/A","4","25"
"Lightning the Room","Defeat Barrows: Rise of the Six without anyone being hit by Karil's 'Portal Explosion' attack.","Combat","Barrows: Rise of the Six","N/A","3","15"
"Like a Boss","Kill a goblin raider boss in the Goblin Village.","Activities","Distractions & Diversions","N/A","N/A","5"
"Like a Varrocket","Cast the Varrock Teleport spell.","Area Tasks","Medium Varrock","N/A","N/A","10"
"Lil' Tuzzy","Unlock the Lil' Tuzzy pet from Beastmaster Durzag in the Liberation of Mazcab.","Combat","Boss Pets","N/A","N/A","0"
"Lilwyr","Unlock the Lilwyr pet from Helwyr in the Heart of Gielinor.","Combat","Boss Pets","N/A","N/A","0"
"Limber Lumber Jumper","Complete the high-level section of the Barbarian Agility course while wearing an agile top.","Area Tasks","Elite Fremennik","N/A","N/A","25"
"Lime Ordeal","Mine limestone at the mountains of Arandar.","Area Tasks","Easy Tirannwn","N/A","N/A","5"
"Limey","Mine some limestone near Paterdomus, the temple to the east of Varrock.","Area Tasks","Easy Varrock","N/A","N/A","5"
"Liquid Luck","Create a luck potion from scratch whilst in the Wilderness.","Area Tasks","Medium Wilderness","N/A","N/A","10"
"Little Leaguer","Score a goal in Gnome Ball.","Activities","Minigames","N/A","N/A","10"
"Little Sus","Unlock the Little Sus pet from Croesus.","Combat","Boss Pets","N/A","N/A","0"
"Little Zuk","Unlock the Little Zuk pet from TzKal-Zuk's challenge.","Combat","Boss Pets","N/A","N/A","0"
"Livid","Throw a rotten tomato at Pauline Polaris in New Varrock, after having unlocked all Livid Farm spells.","Skills","Magic","N/A","N/A","40"
"Living on a Prayer","Use the Air Guitar emote near the musician outside the monastery south of Ardougne.","Area Tasks","Hard Ardougne","N/A","N/A","15"
"Living On a Prayer Switch I","Defeat TzTok-Jad. (X/5)","Combat","TzTok-Jad","N/A","N/A","5"
"Living On a Prayer Switch II","Defeat TzTok-Jad. (X/10)","Combat","TzTok-Jad","N/A","2","10"
"Living On a Prayer Switch III","Defeat TzTok-Jad. (X/25)","Combat","TzTok-Jad","N/A","N/A","5"
"Living On a Prayer Switch IV","Defeat TzTok-Jad. (X/50)","Combat","TzTok-Jad","N/A","N/A","5"
"Living On a Prayer Switch V","Defeat TzTok-Jad. (X/75)","Combat","TzTok-Jad","N/A","N/A","5"
"Living On a Prayer Switch VI","Defeat TzTok-Jad. (X/100)","Combat","TzTok-Jad","N/A","N/A","5"
"Living on the Edge","Cast the Home Teleport spell in the Ancient Magicks spellbook to teleport to Edgeville.","Area Tasks","Hard Varrock","N/A","N/A","15"
"Load of Bakulla","Hear the Epic of Bukalla in the Rellekka longhall.","Lore","Post-Quest","N/A","N/A","5"
"Lodestone Network","Unlock all of the Lodestones.","Exploration","N/A","N/A","N/A","0"
"Lodestone Network Free Area","Unlock all of the Free to Play Lodestones.","Exploration","N/A","N/A","N/A","0"
"Lodestone Network Members' Area","Unlock all of the Members' Lodestones.","Exploration","N/A","N/A","N/A","0"
"Long Live the Kings!","Obtained a collection of unique drops from the Dagannoth Kings.","Feats","Boss Logs","N/A","N/A","0"
"Long Live the Queen","Defeat the Queen Black Dragon and obtain the first dragonkin journal.","Lore","Books","N/A","N/A","10"
"Long Way From Home","Complete the Hefin Agility course with a light creature familiar summoned.","Area Tasks","Hard Tirannwn","N/A","N/A","15"
"Look Spiffy For Tiffy","Salute Sir Tiffy while wearing full initiate armour.","Area Tasks","Medium Falador","N/A","N/A","10"
"Loot Pinata I","Defeat the Queen Black Dragon. (X/5)","Combat","Queen Black Dragon","N/A","N/A","5"
"Loot Pinata II","Defeat the Queen Black Dragon. (X/10)","Combat","Queen Black Dragon","N/A","2","10"
"Loot Pinata III","Defeat the Queen Black Dragon. (X/25)","Combat","Queen Black Dragon","N/A","N/A","5"
"Loot Pinata IV","Defeat the Queen Black Dragon. (X/50)","Combat","Queen Black Dragon","N/A","N/A","5"
"Loot Pinata V","Defeat the Queen Black Dragon. (X/75)","Combat","Queen Black Dragon","N/A","N/A","5"
"Loot Pinata VI","Defeat the Queen Black Dragon. (X/100)","Combat","Queen Black Dragon","N/A","N/A","5"
